Time,Temp. (Degree Celcius)
01-Aug-2017 01:00 am to 01-Aug-2017 02:00 am,29.01
01-Aug-2017 02:00 am to 01-Aug-2017 03:00 am,29.57
01-Aug-2017 03:00 am to 01-Aug-2017 04:00 am,29.46
01-Aug-2017 04:00 am to 01-Aug-2017 05:00 am,29.7
01-Aug-2017 05:00 am to 01-Aug-2017 06:00 am,29.62
01-Aug-2017 06:00 am to 01-Aug-2017 07:00 am,29.77
01-Aug-2017 07:00 am to 01-Aug-2017 08:00 am,30.18
01-Aug-2017 08:00 am to 01-Aug-2017 09:00 am,32.48
01-Aug-2017 09:00 am to 01-Aug-2017 10:00 am,33.8
01-Aug-2017 10:00 am to 01-Aug-2017 11:00 am,34.2
01-Aug-2017 11:00 am to 01-Aug-2017 12:00 pm,32.33
01-Aug-2017 12:00 pm to 01-Aug-2017 01:00 pm,35.59
01-Aug-2017 01:00 pm to 01-Aug-2017 02:00 pm,36.11
01-Aug-2017 02:00 pm to 01-Aug-2017 03:00 pm,34.75
01-Aug-2017 03:00 pm to 01-Aug-2017 04:00 pm,35.44
01-Aug-2017 04:00 pm to 01-Aug-2017 05:00 pm,29.87
01-Aug-2017 05:00 pm to 01-Aug-2017 06:00 pm,30.04
01-Aug-2017 06:00 pm to 01-Aug-2017 07:00 pm,29.2
01-Aug-2017 07:00 pm to 01-Aug-2017 08:00 pm,29.28
01-Aug-2017 08:00 pm to 01-Aug-2017 09:00 pm,29.65
01-Aug-2017 09:00 pm to 01-Aug-2017 10:00 pm,29.81
01-Aug-2017 10:00 pm to 01-Aug-2017 11:00 pm,29
01-Aug-2017 11:00 pm to 02-Aug-2017 12:00 am,29.87
02-Aug-2017 12:00 am to 02-Aug-2017 01:00 am,30.09
02-Aug-2017 01:00 am to 02-Aug-2017 02:00 am,29.84
02-Aug-2017 02:00 am to 02-Aug-2017 03:00 am,29.92
02-Aug-2017 03:00 am to 02-Aug-2017 04:00 am,29.79
02-Aug-2017 04:00 am to 02-Aug-2017 05:00 am,29.7
02-Aug-2017 05:00 am to 02-Aug-2017 06:00 am,29.73
02-Aug-2017 06:00 am to 02-Aug-2017 07:00 am,30.73
02-Aug-2017 07:00 am to 02-Aug-2017 08:00 am,31.91
02-Aug-2017 08:00 am to 02-Aug-2017 09:00 am,33.69
02-Aug-2017 09:00 am to 02-Aug-2017 10:00 am,34.68
02-Aug-2017 10:00 am to 02-Aug-2017 11:00 am,34.82
02-Aug-2017 11:00 am to 02-Aug-2017 12:00 pm,35.52
02-Aug-2017 12:00 pm to 02-Aug-2017 01:00 pm,37.11
02-Aug-2017 01:00 pm to 02-Aug-2017 02:00 pm,33.37
02-Aug-2017 02:00 pm to 02-Aug-2017 03:00 pm,32.59
02-Aug-2017 03:00 pm to 02-Aug-2017 04:00 pm,33.42
02-Aug-2017 04:00 pm to 02-Aug-2017 05:00 pm,33.87
02-Aug-2017 05:00 pm to 02-Aug-2017 06:00 pm,31.89
02-Aug-2017 06:00 pm to 02-Aug-2017 07:00 pm,30.84
02-Aug-2017 07:00 pm to 02-Aug-2017 08:00 pm,30.36
02-Aug-2017 08:00 pm to 02-Aug-2017 09:00 pm,30.23
02-Aug-2017 09:00 pm to 02-Aug-2017 10:00 pm,29.59
02-Aug-2017 10:00 pm to 02-Aug-2017 11:00 pm,29.72
02-Aug-2017 11:00 pm to 03-Aug-2017 12:00 am,29.78
03-Aug-2017 12:00 am to 03-Aug-2017 01:00 am,29.17
03-Aug-2017 01:00 am to 03-Aug-2017 02:00 am,28.71
03-Aug-2017 02:00 am to 03-Aug-2017 03:00 am,28.68
03-Aug-2017 03:00 am to 03-Aug-2017 04:00 am,29.28
03-Aug-2017 04:00 am to 03-Aug-2017 05:00 am,29.24
03-Aug-2017 05:00 am to 03-Aug-2017 06:00 am,29.94
03-Aug-2017 06:00 am to 03-Aug-2017 07:00 am,30.3
03-Aug-2017 07:00 am to 03-Aug-2017 08:00 am,31.02
03-Aug-2017 08:00 am to 03-Aug-2017 09:00 am,32.96
03-Aug-2017 09:00 am to 03-Aug-2017 10:00 am,34.15
03-Aug-2017 10:00 am to 03-Aug-2017 11:00 am,34.4
03-Aug-2017 11:00 am to 03-Aug-2017 12:00 pm,36.11
03-Aug-2017 12:00 pm to 03-Aug-2017 01:00 pm,36.05
03-Aug-2017 01:00 pm to 03-Aug-2017 02:00 pm,36.16
03-Aug-2017 02:00 pm to 03-Aug-2017 03:00 pm,36.15
03-Aug-2017 03:00 pm to 03-Aug-2017 04:00 pm,35.06
03-Aug-2017 04:00 pm to 03-Aug-2017 05:00 pm,34.08
03-Aug-2017 05:00 pm to 03-Aug-2017 06:00 pm,29.96
03-Aug-2017 06:00 pm to 03-Aug-2017 07:00 pm,30.31
03-Aug-2017 07:00 pm to 03-Aug-2017 08:00 pm,30.3
03-Aug-2017 08:00 pm to 03-Aug-2017 09:00 pm,30.69
03-Aug-2017 09:00 pm to 03-Aug-2017 10:00 pm,30.21
03-Aug-2017 10:00 pm to 03-Aug-2017 11:00 pm,29.06
03-Aug-2017 11:00 pm to 04-Aug-2017 12:00 am,29.06
04-Aug-2017 12:00 am to 04-Aug-2017 01:00 am,29.67
04-Aug-2017 01:00 am to 04-Aug-2017 02:00 am,29.45
04-Aug-2017 02:00 am to 04-Aug-2017 03:00 am,29.69
04-Aug-2017 03:00 am to 04-Aug-2017 04:00 am,29.68
04-Aug-2017 04:00 am to 04-Aug-2017 05:00 am,29.84
04-Aug-2017 05:00 am to 04-Aug-2017 06:00 am,29.77
04-Aug-2017 06:00 am to 04-Aug-2017 07:00 am,30.24
04-Aug-2017 07:00 am to 04-Aug-2017 08:00 am,29.94
04-Aug-2017 08:00 am to 04-Aug-2017 09:00 am,31.26
04-Aug-2017 09:00 am to 04-Aug-2017 10:00 am,32.37
04-Aug-2017 10:00 am to 04-Aug-2017 11:00 am,33.53
04-Aug-2017 11:00 am to 04-Aug-2017 12:00 pm,34.19
04-Aug-2017 12:00 pm to 04-Aug-2017 01:00 pm,34.78
04-Aug-2017 01:00 pm to 04-Aug-2017 02:00 pm,32.4
04-Aug-2017 02:00 pm to 04-Aug-2017 03:00 pm,28.8
04-Aug-2017 03:00 pm to 04-Aug-2017 04:00 pm,27.97
04-Aug-2017 04:00 pm to 04-Aug-2017 05:00 pm,28.38
04-Aug-2017 05:00 pm to 04-Aug-2017 06:00 pm,28.87
04-Aug-2017 06:00 pm to 04-Aug-2017 07:00 pm,29.3
04-Aug-2017 07:00 pm to 04-Aug-2017 08:00 pm,28.63
04-Aug-2017 08:00 pm to 04-Aug-2017 09:00 pm,29.08
04-Aug-2017 09:00 pm to 04-Aug-2017 10:00 pm,28.63
04-Aug-2017 10:00 pm to 04-Aug-2017 11:00 pm,28.29
04-Aug-2017 11:00 pm to 05-Aug-2017 12:00 am,28.36
05-Aug-2017 12:00 am to 05-Aug-2017 01:00 am,28.69
05-Aug-2017 01:00 am to 05-Aug-2017 02:00 am,28.7
05-Aug-2017 02:00 am to 05-Aug-2017 03:00 am,28.79
05-Aug-2017 03:00 am to 05-Aug-2017 04:00 am,29.37
05-Aug-2017 04:00 am to 05-Aug-2017 05:00 am,29.3
05-Aug-2017 05:00 am to 05-Aug-2017 06:00 am,29.26
05-Aug-2017 06:00 am to 05-Aug-2017 07:00 am,29.28
05-Aug-2017 07:00 am to 05-Aug-2017 08:00 am,29.8
05-Aug-2017 08:00 am to 05-Aug-2017 09:00 am,30.3
05-Aug-2017 09:00 am to 05-Aug-2017 10:00 am,30.96
05-Aug-2017 10:00 am to 05-Aug-2017 11:00 am,31.13
05-Aug-2017 11:00 am to 05-Aug-2017 12:00 pm,31.21
05-Aug-2017 12:00 pm to 05-Aug-2017 01:00 pm,30.98
05-Aug-2017 01:00 pm to 05-Aug-2017 02:00 pm,30.98
05-Aug-2017 02:00 pm to 05-Aug-2017 03:00 pm,31.27
05-Aug-2017 03:00 pm to 05-Aug-2017 04:00 pm,32.08
05-Aug-2017 04:00 pm to 05-Aug-2017 05:00 pm,32.38
05-Aug-2017 05:00 pm to 05-Aug-2017 06:00 pm,31.35
05-Aug-2017 06:00 pm to 05-Aug-2017 07:00 pm,30.02
05-Aug-2017 07:00 pm to 05-Aug-2017 08:00 pm,30.5
05-Aug-2017 08:00 pm to 05-Aug-2017 09:00 pm,29.13
05-Aug-2017 09:00 pm to 05-Aug-2017 10:00 pm,28.87
05-Aug-2017 10:00 pm to 05-Aug-2017 11:00 pm,29.01
05-Aug-2017 11:00 pm to 06-Aug-2017 12:00 am,28.78
06-Aug-2017 12:00 am to 06-Aug-2017 01:00 am,29.08
06-Aug-2017 01:00 am to 06-Aug-2017 02:00 am,28.86
06-Aug-2017 02:00 am to 06-Aug-2017 03:00 am,28.85
06-Aug-2017 03:00 am to 06-Aug-2017 04:00 am,28.77
06-Aug-2017 04:00 am to 06-Aug-2017 05:00 am,28.88
06-Aug-2017 05:00 am to 06-Aug-2017 06:00 am,29.11
06-Aug-2017 06:00 am to 06-Aug-2017 07:00 am,29.37
06-Aug-2017 07:00 am to 06-Aug-2017 08:00 am,30.14
06-Aug-2017 08:00 am to 06-Aug-2017 09:00 am,31.68
06-Aug-2017 09:00 am to 06-Aug-2017 10:00 am,32.1
06-Aug-2017 10:00 am to 06-Aug-2017 11:00 am,34.04
06-Aug-2017 11:00 am to 06-Aug-2017 12:00 pm,33.63
06-Aug-2017 12:00 pm to 06-Aug-2017 01:00 pm,32.27
06-Aug-2017 01:00 pm to 06-Aug-2017 02:00 pm,30.97
06-Aug-2017 02:00 pm to 06-Aug-2017 03:00 pm,32.58
06-Aug-2017 03:00 pm to 06-Aug-2017 04:00 pm,33.79
06-Aug-2017 04:00 pm to 06-Aug-2017 05:00 pm,32.75
06-Aug-2017 05:00 pm to 06-Aug-2017 06:00 pm,32.64
06-Aug-2017 06:00 pm to 06-Aug-2017 07:00 pm,30.47
06-Aug-2017 07:00 pm to 06-Aug-2017 08:00 pm,30.2
06-Aug-2017 08:00 pm to 06-Aug-2017 09:00 pm,29.78
06-Aug-2017 09:00 pm to 06-Aug-2017 10:00 pm,29.81
06-Aug-2017 10:00 pm to 06-Aug-2017 11:00 pm,29.1
06-Aug-2017 11:00 pm to 07-Aug-2017 12:00 am,28.62
07-Aug-2017 12:00 am to 07-Aug-2017 01:00 am,28.92
07-Aug-2017 01:00 am to 07-Aug-2017 02:00 am,28.86
07-Aug-2017 02:00 am to 07-Aug-2017 03:00 am,28.61
07-Aug-2017 03:00 am to 07-Aug-2017 04:00 am,28.52
07-Aug-2017 04:00 am to 07-Aug-2017 05:00 am,28.51
07-Aug-2017 05:00 am to 07-Aug-2017 06:00 am,28.83
07-Aug-2017 06:00 am to 07-Aug-2017 07:00 am,29.5
07-Aug-2017 07:00 am to 07-Aug-2017 08:00 am,29.88
07-Aug-2017 08:00 am to 07-Aug-2017 09:00 am,31.39
07-Aug-2017 09:00 am to 07-Aug-2017 10:00 am,33.67
07-Aug-2017 10:00 am to 07-Aug-2017 11:00 am,34.89
07-Aug-2017 11:00 am to 07-Aug-2017 12:00 pm,36.09
07-Aug-2017 12:00 pm to 07-Aug-2017 01:00 pm,36.62
07-Aug-2017 01:00 pm to 07-Aug-2017 02:00 pm,35.9
07-Aug-2017 02:00 pm to 07-Aug-2017 03:00 pm,32.88
07-Aug-2017 03:00 pm to 07-Aug-2017 04:00 pm,32.86
07-Aug-2017 04:00 pm to 07-Aug-2017 05:00 pm,32.6
07-Aug-2017 05:00 pm to 07-Aug-2017 06:00 pm,31.68
07-Aug-2017 06:00 pm to 07-Aug-2017 07:00 pm,30.92
07-Aug-2017 07:00 pm to 07-Aug-2017 08:00 pm,30.31
07-Aug-2017 08:00 pm to 07-Aug-2017 09:00 pm,30.29
07-Aug-2017 09:00 pm to 07-Aug-2017 10:00 pm,29.58
07-Aug-2017 10:00 pm to 07-Aug-2017 11:00 pm,29.38
07-Aug-2017 11:00 pm to 08-Aug-2017 12:00 am,29.73
08-Aug-2017 12:00 am to 08-Aug-2017 01:00 am,29.52
08-Aug-2017 01:00 am to 08-Aug-2017 02:00 am,29.28
08-Aug-2017 02:00 am to 08-Aug-2017 03:00 am,28.7
08-Aug-2017 03:00 am to 08-Aug-2017 04:00 am,29.06
08-Aug-2017 04:00 am to 08-Aug-2017 05:00 am,28.95
08-Aug-2017 05:00 am to 08-Aug-2017 06:00 am,28.98
08-Aug-2017 06:00 am to 08-Aug-2017 07:00 am,28.77
08-Aug-2017 07:00 am to 08-Aug-2017 08:00 am,29.86
08-Aug-2017 08:00 am to 08-Aug-2017 09:00 am,30.14
08-Aug-2017 09:00 am to 08-Aug-2017 10:00 am,31.34
08-Aug-2017 10:00 am to 08-Aug-2017 11:00 am,32.55
08-Aug-2017 11:00 am to 08-Aug-2017 12:00 pm,33.61
08-Aug-2017 12:00 pm to 08-Aug-2017 01:00 pm,35.3
08-Aug-2017 01:00 pm to 08-Aug-2017 02:00 pm,34.34
08-Aug-2017 02:00 pm to 08-Aug-2017 03:00 pm,31.04
08-Aug-2017 03:00 pm to 08-Aug-2017 04:00 pm,33.27
08-Aug-2017 04:00 pm to 08-Aug-2017 05:00 pm,33.52
08-Aug-2017 05:00 pm to 08-Aug-2017 06:00 pm,33.29
08-Aug-2017 06:00 pm to 08-Aug-2017 07:00 pm,31.87
08-Aug-2017 07:00 pm to 08-Aug-2017 08:00 pm,31.83
08-Aug-2017 08:00 pm to 08-Aug-2017 09:00 pm,30.82
08-Aug-2017 09:00 pm to 08-Aug-2017 10:00 pm,29.86
08-Aug-2017 10:00 pm to 08-Aug-2017 11:00 pm,30.51
08-Aug-2017 11:00 pm to 09-Aug-2017 12:00 am,30.31
09-Aug-2017 12:00 am to 09-Aug-2017 01:00 am,30.12
09-Aug-2017 01:00 am to 09-Aug-2017 02:00 am,29.84
09-Aug-2017 02:00 am to 09-Aug-2017 03:00 am,29.2
09-Aug-2017 03:00 am to 09-Aug-2017 04:00 am,28.73
09-Aug-2017 04:00 am to 09-Aug-2017 05:00 am,28.87
09-Aug-2017 05:00 am to 09-Aug-2017 06:00 am,28.62
09-Aug-2017 06:00 am to 09-Aug-2017 07:00 am,28.78
09-Aug-2017 07:00 am to 09-Aug-2017 08:00 am,28.85
09-Aug-2017 08:00 am to 09-Aug-2017 09:00 am,29.88
09-Aug-2017 09:00 am to 09-Aug-2017 10:00 am,33.01
09-Aug-2017 10:00 am to 09-Aug-2017 11:00 am,34.07
09-Aug-2017 11:00 am to 09-Aug-2017 12:00 pm,34.4
09-Aug-2017 12:00 pm to 09-Aug-2017 01:00 pm,35.98
09-Aug-2017 01:00 pm to 09-Aug-2017 02:00 pm,33.12
09-Aug-2017 02:00 pm to 09-Aug-2017 03:00 pm,31.57
09-Aug-2017 03:00 pm to 09-Aug-2017 04:00 pm,30.72
09-Aug-2017 04:00 pm to 09-Aug-2017 05:00 pm,30.25
09-Aug-2017 05:00 pm to 09-Aug-2017 06:00 pm,30.58
09-Aug-2017 06:00 pm to 09-Aug-2017 07:00 pm,29.56
09-Aug-2017 07:00 pm to 09-Aug-2017 08:00 pm,29.52
09-Aug-2017 08:00 pm to 09-Aug-2017 09:00 pm,29.63
09-Aug-2017 09:00 pm to 09-Aug-2017 10:00 pm,29.98
09-Aug-2017 10:00 pm to 09-Aug-2017 11:00 pm,29.42
09-Aug-2017 11:00 pm to 10-Aug-2017 12:00 am,28.94
10-Aug-2017 12:00 am to 10-Aug-2017 01:00 am,28.71
10-Aug-2017 01:00 am to 10-Aug-2017 02:00 am,29.71
10-Aug-2017 02:00 am to 10-Aug-2017 03:00 am,29.39
10-Aug-2017 03:00 am to 10-Aug-2017 04:00 am,29.17
10-Aug-2017 04:00 am to 10-Aug-2017 05:00 am,29.43
10-Aug-2017 05:00 am to 10-Aug-2017 06:00 am,29.02
10-Aug-2017 06:00 am to 10-Aug-2017 07:00 am,29.67
10-Aug-2017 07:00 am to 10-Aug-2017 08:00 am,31.55
10-Aug-2017 08:00 am to 10-Aug-2017 09:00 am,31.9
10-Aug-2017 09:00 am to 10-Aug-2017 10:00 am,31.84
10-Aug-2017 10:00 am to 10-Aug-2017 11:00 am,33.65
10-Aug-2017 11:00 am to 10-Aug-2017 12:00 pm,34.1
10-Aug-2017 12:00 pm to 10-Aug-2017 01:00 pm,35.89
10-Aug-2017 01:00 pm to 10-Aug-2017 02:00 pm,35.47
10-Aug-2017 02:00 pm to 10-Aug-2017 03:00 pm,34.71
10-Aug-2017 03:00 pm to 10-Aug-2017 04:00 pm,34.42
10-Aug-2017 04:00 pm to 10-Aug-2017 05:00 pm,33.84
10-Aug-2017 05:00 pm to 10-Aug-2017 06:00 pm,32.62
10-Aug-2017 06:00 pm to 10-Aug-2017 07:00 pm,31.84
10-Aug-2017 07:00 pm to 10-Aug-2017 08:00 pm,31.34
10-Aug-2017 08:00 pm to 10-Aug-2017 09:00 pm,30.93
10-Aug-2017 09:00 pm to 10-Aug-2017 10:00 pm,30.59
10-Aug-2017 10:00 pm to 10-Aug-2017 11:00 pm,30.43
10-Aug-2017 11:00 pm to 11-Aug-2017 12:00 am,30.26
11-Aug-2017 12:00 am to 11-Aug-2017 01:00 am,29.45
11-Aug-2017 01:00 am to 11-Aug-2017 02:00 am,30.01
11-Aug-2017 02:00 am to 11-Aug-2017 03:00 am,29.42
11-Aug-2017 03:00 am to 11-Aug-2017 04:00 am,28.38
11-Aug-2017 04:00 am to 11-Aug-2017 05:00 am,29.04
11-Aug-2017 05:00 am to 11-Aug-2017 06:00 am,28.64
11-Aug-2017 06:00 am to 11-Aug-2017 07:00 am,28.89
11-Aug-2017 07:00 am to 11-Aug-2017 08:00 am,30.32
11-Aug-2017 08:00 am to 11-Aug-2017 09:00 am,33.28
11-Aug-2017 09:00 am to 11-Aug-2017 10:00 am,33.87
11-Aug-2017 10:00 am to 11-Aug-2017 11:00 am,34.43
11-Aug-2017 11:00 am to 11-Aug-2017 12:00 pm,34.77
11-Aug-2017 12:00 pm to 11-Aug-2017 01:00 pm,36.11
11-Aug-2017 01:00 pm to 11-Aug-2017 02:00 pm,36.29
11-Aug-2017 02:00 pm to 11-Aug-2017 03:00 pm,35.96
11-Aug-2017 03:00 pm to 11-Aug-2017 04:00 pm,36.51
11-Aug-2017 04:00 pm to 11-Aug-2017 05:00 pm,35.22
11-Aug-2017 05:00 pm to 11-Aug-2017 06:00 pm,34.56
11-Aug-2017 06:00 pm to 11-Aug-2017 07:00 pm,33.83
11-Aug-2017 07:00 pm to 11-Aug-2017 08:00 pm,33.44
11-Aug-2017 08:00 pm to 11-Aug-2017 09:00 pm,32.91
11-Aug-2017 09:00 pm to 11-Aug-2017 10:00 pm,32.59
11-Aug-2017 10:00 pm to 11-Aug-2017 11:00 pm,32.28
11-Aug-2017 11:00 pm to 12-Aug-2017 12:00 am,31.87
12-Aug-2017 12:00 am to 12-Aug-2017 01:00 am,31.75
12-Aug-2017 01:00 am to 12-Aug-2017 02:00 am,31.22
12-Aug-2017 02:00 am to 12-Aug-2017 03:00 am,31.33
12-Aug-2017 03:00 am to 12-Aug-2017 04:00 am,31.46
12-Aug-2017 04:00 am to 12-Aug-2017 05:00 am,31.12
12-Aug-2017 05:00 am to 12-Aug-2017 06:00 am,30.94
12-Aug-2017 06:00 am to 12-Aug-2017 07:00 am,30.96
12-Aug-2017 07:00 am to 12-Aug-2017 08:00 am,32.04
12-Aug-2017 08:00 am to 12-Aug-2017 09:00 am,33.44
12-Aug-2017 09:00 am to 12-Aug-2017 10:00 am,34.17
12-Aug-2017 10:00 am to 12-Aug-2017 11:00 am,34.15
12-Aug-2017 11:00 am to 12-Aug-2017 12:00 pm,33.73
12-Aug-2017 12:00 pm to 12-Aug-2017 01:00 pm,34.47
12-Aug-2017 01:00 pm to 12-Aug-2017 02:00 pm,34.94
12-Aug-2017 02:00 pm to 12-Aug-2017 03:00 pm,33.06
12-Aug-2017 03:00 pm to 12-Aug-2017 04:00 pm,32.04
12-Aug-2017 04:00 pm to 12-Aug-2017 05:00 pm,32.59
12-Aug-2017 05:00 pm to 12-Aug-2017 06:00 pm,32.04
12-Aug-2017 06:00 pm to 12-Aug-2017 07:00 pm,30.97
12-Aug-2017 07:00 pm to 12-Aug-2017 08:00 pm,30.7
12-Aug-2017 08:00 pm to 12-Aug-2017 09:00 pm,30.78
12-Aug-2017 09:00 pm to 12-Aug-2017 10:00 pm,30.56
12-Aug-2017 10:00 pm to 12-Aug-2017 11:00 pm,29.96
12-Aug-2017 11:00 pm to 13-Aug-2017 12:00 am,29.8
13-Aug-2017 12:00 am to 13-Aug-2017 01:00 am,29.08
13-Aug-2017 01:00 am to 13-Aug-2017 02:00 am,28.53
13-Aug-2017 02:00 am to 13-Aug-2017 03:00 am,28.31
13-Aug-2017 03:00 am to 13-Aug-2017 04:00 am,29.01
13-Aug-2017 04:00 am to 13-Aug-2017 05:00 am,28.75
13-Aug-2017 05:00 am to 13-Aug-2017 06:00 am,28.66
13-Aug-2017 06:00 am to 13-Aug-2017 07:00 am,28.87
13-Aug-2017 07:00 am to 13-Aug-2017 08:00 am,29.23
13-Aug-2017 08:00 am to 13-Aug-2017 09:00 am,30
13-Aug-2017 09:00 am to 13-Aug-2017 10:00 am,32.68
13-Aug-2017 10:00 am to 13-Aug-2017 11:00 am,33.67
13-Aug-2017 11:00 am to 13-Aug-2017 12:00 pm,34.77
13-Aug-2017 12:00 pm to 13-Aug-2017 01:00 pm,35.92
13-Aug-2017 01:00 pm to 13-Aug-2017 02:00 pm,32.92
13-Aug-2017 02:00 pm to 13-Aug-2017 03:00 pm,33.29
13-Aug-2017 03:00 pm to 13-Aug-2017 04:00 pm,34.1
13-Aug-2017 04:00 pm to 13-Aug-2017 05:00 pm,28.19
13-Aug-2017 05:00 pm to 13-Aug-2017 06:00 pm,29.6
13-Aug-2017 06:00 pm to 13-Aug-2017 07:00 pm,27.71
13-Aug-2017 07:00 pm to 13-Aug-2017 08:00 pm,28.53
13-Aug-2017 08:00 pm to 13-Aug-2017 09:00 pm,29.5
13-Aug-2017 09:00 pm to 13-Aug-2017 10:00 pm,29.11
13-Aug-2017 10:00 pm to 13-Aug-2017 11:00 pm,29.31
13-Aug-2017 11:00 pm to 14-Aug-2017 12:00 am,28.97
14-Aug-2017 12:00 am to 14-Aug-2017 01:00 am,29.02
14-Aug-2017 01:00 am to 14-Aug-2017 02:00 am,28.67
14-Aug-2017 02:00 am to 14-Aug-2017 03:00 am,28.35
14-Aug-2017 03:00 am to 14-Aug-2017 04:00 am,27.97
14-Aug-2017 04:00 am to 14-Aug-2017 05:00 am,27.5
14-Aug-2017 05:00 am to 14-Aug-2017 06:00 am,27.6
14-Aug-2017 06:00 am to 14-Aug-2017 07:00 am,27.41
14-Aug-2017 07:00 am to 14-Aug-2017 08:00 am,28.03
14-Aug-2017 08:00 am to 14-Aug-2017 09:00 am,28.64
14-Aug-2017 09:00 am to 14-Aug-2017 10:00 am,27.62
14-Aug-2017 10:00 am to 14-Aug-2017 11:00 am,28.65
14-Aug-2017 11:00 am to 14-Aug-2017 12:00 pm,30.16
14-Aug-2017 12:00 pm to 14-Aug-2017 01:00 pm,32.5
14-Aug-2017 01:00 pm to 14-Aug-2017 02:00 pm,33.73
14-Aug-2017 02:00 pm to 14-Aug-2017 03:00 pm,34.17
14-Aug-2017 03:00 pm to 14-Aug-2017 04:00 pm,34.51
14-Aug-2017 04:00 pm to 14-Aug-2017 05:00 pm,33.3
14-Aug-2017 05:00 pm to 14-Aug-2017 06:00 pm,33.14
14-Aug-2017 06:00 pm to 14-Aug-2017 07:00 pm,31.76
14-Aug-2017 07:00 pm to 14-Aug-2017 08:00 pm,30.32
14-Aug-2017 08:00 pm to 14-Aug-2017 09:00 pm,28.74
14-Aug-2017 09:00 pm to 14-Aug-2017 10:00 pm,29.53
14-Aug-2017 10:00 pm to 14-Aug-2017 11:00 pm,28.86
14-Aug-2017 11:00 pm to 15-Aug-2017 12:00 am,28.25
15-Aug-2017 12:00 am to 15-Aug-2017 01:00 am,28.15
15-Aug-2017 01:00 am to 15-Aug-2017 02:00 am,28.03
15-Aug-2017 02:00 am to 15-Aug-2017 03:00 am,27.88
15-Aug-2017 03:00 am to 15-Aug-2017 04:00 am,28.29
15-Aug-2017 04:00 am to 15-Aug-2017 05:00 am,27.81
15-Aug-2017 05:00 am to 15-Aug-2017 06:00 am,27.42
15-Aug-2017 06:00 am to 15-Aug-2017 07:00 am,28.25
15-Aug-2017 07:00 am to 15-Aug-2017 08:00 am,28.97
15-Aug-2017 08:00 am to 15-Aug-2017 09:00 am,30.41
15-Aug-2017 09:00 am to 15-Aug-2017 10:00 am,32.6
15-Aug-2017 10:00 am to 15-Aug-2017 11:00 am,33.99
15-Aug-2017 11:00 am to 15-Aug-2017 12:00 pm,35.34
15-Aug-2017 12:00 pm to 15-Aug-2017 01:00 pm,35.87
15-Aug-2017 01:00 pm to 15-Aug-2017 02:00 pm,36.83
15-Aug-2017 02:00 pm to 15-Aug-2017 03:00 pm,34.79
15-Aug-2017 03:00 pm to 15-Aug-2017 04:00 pm,30.46
15-Aug-2017 04:00 pm to 15-Aug-2017 05:00 pm,33.21
15-Aug-2017 05:00 pm to 15-Aug-2017 06:00 pm,33.45
15-Aug-2017 06:00 pm to 15-Aug-2017 07:00 pm,32.23
15-Aug-2017 07:00 pm to 15-Aug-2017 08:00 pm,31.39
15-Aug-2017 08:00 pm to 15-Aug-2017 09:00 pm,29.88
15-Aug-2017 09:00 pm to 15-Aug-2017 10:00 pm,30.18
15-Aug-2017 10:00 pm to 15-Aug-2017 11:00 pm,29.31
15-Aug-2017 11:00 pm to 16-Aug-2017 12:00 am,30.19
16-Aug-2017 12:00 am to 16-Aug-2017 01:00 am,29.8
16-Aug-2017 01:00 am to 16-Aug-2017 02:00 am,28.9
16-Aug-2017 02:00 am to 16-Aug-2017 03:00 am,28.85
16-Aug-2017 03:00 am to 16-Aug-2017 04:00 am,28.66
16-Aug-2017 04:00 am to 16-Aug-2017 05:00 am,29.49
16-Aug-2017 05:00 am to 16-Aug-2017 06:00 am,29.23
16-Aug-2017 06:00 am to 16-Aug-2017 07:00 am,29.59
16-Aug-2017 07:00 am to 16-Aug-2017 08:00 am,29.94
16-Aug-2017 08:00 am to 16-Aug-2017 09:00 am,31.46
16-Aug-2017 09:00 am to 16-Aug-2017 10:00 am,33.62
16-Aug-2017 10:00 am to 16-Aug-2017 11:00 am,34.32
16-Aug-2017 11:00 am to 16-Aug-2017 12:00 pm,33.93
16-Aug-2017 12:00 pm to 16-Aug-2017 01:00 pm,34.08
16-Aug-2017 01:00 pm to 16-Aug-2017 02:00 pm,34.95
16-Aug-2017 02:00 pm to 16-Aug-2017 03:00 pm,34.37
16-Aug-2017 03:00 pm to 16-Aug-2017 04:00 pm,33.66
16-Aug-2017 04:00 pm to 16-Aug-2017 05:00 pm,33.1
16-Aug-2017 05:00 pm to 16-Aug-2017 06:00 pm,32.79
16-Aug-2017 06:00 pm to 16-Aug-2017 07:00 pm,32.76
16-Aug-2017 07:00 pm to 16-Aug-2017 08:00 pm,32.62
16-Aug-2017 08:00 pm to 16-Aug-2017 09:00 pm,32.03
16-Aug-2017 09:00 pm to 16-Aug-2017 10:00 pm,31.81
16-Aug-2017 10:00 pm to 16-Aug-2017 11:00 pm,31.45
16-Aug-2017 11:00 pm to 17-Aug-2017 12:00 am,31.22
17-Aug-2017 12:00 am to 17-Aug-2017 01:00 am,30.37
17-Aug-2017 01:00 am to 17-Aug-2017 02:00 am,30.46
17-Aug-2017 02:00 am to 17-Aug-2017 03:00 am,29.6
17-Aug-2017 03:00 am to 17-Aug-2017 04:00 am,29.55
17-Aug-2017 04:00 am to 17-Aug-2017 05:00 am,27.24
